sample,fastq_1,fastq_2,strandedness
202837,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202837/202837_S11_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202837/202837_S11_L001_R2_001.fastq.gz,unstranded
202838,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202838/202838_S12_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202838/202838_S12_L001_R2_001.fastq.gz,unstranded
202839,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202839/202839_S35_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202839/202839_S35_L001_R2_001.fastq.gz,unstranded
202840,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202840/202840_S13_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202840/202840_S13_L001_R2_001.fastq.gz,unstranded
202841,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202841/202841_S36_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202841/202841_S36_L001_R2_001.fastq.gz,unstranded
202842,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202842/202842_S14_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202842/202842_S14_L001_R2_001.fastq.gz,unstranded
202843,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202843/202843_S37_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202843/202843_S37_L001_R2_001.fastq.gz,unstranded
202844,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202844/202844_S38_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202844/202844_S38_L001_R2_001.fastq.gz,unstranded
202845,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202845/202845_S15_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202845/202845_S15_L001_R2_001.fastq.gz,unstranded
202846,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202846/202846_S16_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202846/202846_S16_L001_R2_001.fastq.gz,unstranded
202847,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202847/202847_S17_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202847/202847_S17_L001_R2_001.fastq.gz,unstranded
202848,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202848/202848_S18_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202848/202848_S18_L001_R2_001.fastq.gz,unstranded
202849,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202849/202849_S40_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202849/202849_S40_L001_R2_001.fastq.gz,unstranded
202850,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202850/202850_S19_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202850/202850_S19_L001_R2_001.fastq.gz,unstranded
202851,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202851/202851_S20_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202851/202851_S20_L001_R2_001.fastq.gz,unstranded
202852,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202852/202852_S21_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202852/202852_S21_L001_R2_001.fastq.gz,unstranded
202853,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202853/202853_S41_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202853/202853_S41_L001_R2_001.fastq.gz,unstranded
202854,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202854/202854_S22_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202854/202854_S22_L001_R2_001.fastq.gz,unstranded
202855,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202855/202855_S23_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202855/202855_S23_L001_R2_001.fastq.gz,unstranded
202856,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202856/202856_S24_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202856/202856_S24_L001_R2_001.fastq.gz,unstranded
202857,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202857/202857_S42_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202857/202857_S42_L001_R2_001.fastq.gz,unstranded
202858,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202858/202858_S25_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202858/202858_S25_L001_R2_001.fastq.gz,unstranded
202859,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202859/202859_S26_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202859/202859_S26_L001_R2_001.fastq.gz,unstranded
202860,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202860/202860_S27_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202860/202860_S27_L001_R2_001.fastq.gz,unstranded
202861,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202861/202861_S28_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202861/202861_S28_L001_R2_001.fastq.gz,unstranded
202862,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202862/202862_S29_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202862/202862_S29_L001_R2_001.fastq.gz,unstranded
202863,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202863/202863_S30_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202863/202863_S30_L001_R2_001.fastq.gz,unstranded
202864,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202864/202864_S39_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202864/202864_S39_L001_R2_001.fastq.gz,unstranded
202865,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202865/202865_S31_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202865/202865_S31_L001_R2_001.fastq.gz,unstranded
202866,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202866/202866_S44_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202866/202866_S44_L001_R2_001.fastq.gz,unstranded
202867,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202867/202867_S32_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202867/202867_S32_L001_R2_001.fastq.gz,unstranded
202868,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202868/202868_S33_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202868/202868_S33_L001_R2_001.fastq.gz,unstranded
202869,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202869/202869_S34_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/202869/202869_S34_L001_R2_001.fastq.gz,unstranded
203229,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/203229/203229_S43_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/203229/203229_S43_L001_R2_001.fastq.gz,unstranded
205597,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205597/205597_S7_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205597/205597_S7_L001_R2_001.fastq.gz,unstranded
205598,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205598/205598_S8_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205598/205598_S8_L001_R2_001.fastq.gz,unstranded
205599,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205599/205599_S9_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205599/205599_S9_L001_R2_001.fastq.gz,unstranded
205600,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205600/205600_S10_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205600/205600_S10_L001_R2_001.fastq.gz,unstranded
205601,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205601/205601_S11_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205601/205601_S11_L001_R2_001.fastq.gz,unstranded
205602,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205602/205602_S12_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205602/205602_S12_L001_R2_001.fastq.gz,unstranded
205603,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205603/205603_S13_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205603/205603_S13_L001_R2_001.fastq.gz,unstranded
205604,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205604/205604_S14_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205604/205604_S14_L001_R2_001.fastq.gz,unstranded
205605,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205605/205605_S15_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205605/205605_S15_L001_R2_001.fastq.gz,unstranded
205606,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205606/205606_S16_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205606/205606_S16_L001_R2_001.fastq.gz,unstranded
205607,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205607/205607_S17_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205607/205607_S17_L001_R2_001.fastq.gz,unstranded
205608,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205608/205608_S18_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205608/205608_S18_L001_R2_001.fastq.gz,unstranded
205609,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205609/205609_S19_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205609/205609_S19_L001_R2_001.fastq.gz,unstranded
205610,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205610/205610_S20_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205610/205610_S20_L001_R2_001.fastq.gz,unstranded
205611,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205611/205611_S21_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205611/205611_S21_L001_R2_001.fastq.gz,unstranded
205612,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205612/205612_S22_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205612/205612_S22_L001_R2_001.fastq.gz,unstranded
205613,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205613/205613_S23_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205613/205613_S23_L001_R2_001.fastq.gz,unstranded
205614,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205614/205614_S24_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205614/205614_S24_L001_R2_001.fastq.gz,unstranded
205615,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205615/205615_S25_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205615/205615_S25_L001_R2_001.fastq.gz,unstranded
205616,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205616/205616_S26_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205616/205616_S26_L001_R2_001.fastq.gz,unstranded
205617,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205617/205617_S27_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205617/205617_S27_L001_R2_001.fastq.gz,unstranded
205618,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205618/205618_S28_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205618/205618_S28_L001_R2_001.fastq.gz,unstranded
205619,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205619/205619_S29_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205619/205619_S29_L001_R2_001.fastq.gz,unstranded
205620,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205620/205620_S30_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205620/205620_S30_L001_R2_001.fastq.gz,unstranded
205621,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205621/205621_S31_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205621/205621_S31_L001_R2_001.fastq.gz,unstranded
205622,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205622/205622_S32_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205622/205622_S32_L001_R2_001.fastq.gz,unstranded
205623,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205623/205623_S33_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205623/205623_S33_L001_R2_001.fastq.gz,unstranded
205624,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205624/205624_S34_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205624/205624_S34_L001_R2_001.fastq.gz,unstranded
205625,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205625/205625_S35_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205625/205625_S35_L001_R2_001.fastq.gz,unstranded
205626,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205626/205626_S36_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205626/205626_S36_L001_R2_001.fastq.gz,unstranded
205627,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205627/205627_S37_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205627/205627_S37_L001_R2_001.fastq.gz,unstranded
205628,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205628/205628_S38_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205628/205628_S38_L001_R2_001.fastq.gz,unstranded
205629,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205629/205629_S39_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205629/205629_S39_L001_R2_001.fastq.gz,unstranded
205630,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205630/205630_S40_L001_R1_001.fastq.gz,/scratch/csfs/ido/tmp/paulus/HNN3NDSX3_1_R13904_20220820/renamed/205630/205630_S40_L001_R2_001.fastq.gz,unstranded
